Party Booking,حجز حفلة
Party Bookings,حجوزات الحفلات
Party Asset Return,إرجاع أصول الحفلة
Party Asset Returns,إرجاعات أصول الحفلة
Party Booking Asset,أصل حجز الحفلة
Party Booking Session,جلسة حجز الحفلة
Party Booking Reminder,تذكير حجز الحفلة
Event Type,نوع المناسبة
Event Types,أنواع المناسبات
Mu Booking,حجوزات مو
Customer Information,معلومات العميل
Customer,العميل
Customer Name,اسم العميل
Customer Mobile,جوال العميل
Receiver Mobile,جوال المستلم
Party Location,موقع الحفلة
Location Link (Google Maps),رابط الموقع (خرائط جوجل)
Customer Notes,ملاحظات العميل
Booking Information,معلومات الحجز
Service Type,نوع الخدمة
Booking Type,نوع الحجز
Party Date,تاريخ الحفلة
Party Time,وقت الحفلة
Booking Officer,مسؤول الحجز
Recurring Booking Details,تفاصيل الحجز المتكرر
Recurring Pattern,نمط التكرار
Start Date,تاريخ البدء
Number of Days/Sessions,عدد الأيام/الجلسات
End Date,تاريخ الانتهاء
Sessions,الجلسات
Booking Sessions,جلسات الحجز
Booking Assets,أصول الحجز
Assets,الأصول
Financial Information,المعلومات المالية
Security Deposit,مبلغ التأمين
Deposit Status,حالة التأمين
Invoice Reference,المرجع للفاتورة
Delivery Only,توصيل فقط
Delivery and Installation,توصيل وتركيب
One-time,لمرة واحدة
Recurring,متكرر
Daily,يومياً
Weekly,أسبوعياً
Monthly,شهرياً
Manual,يدوي
Pending,معلق
Refunded,تم الاسترجاع
Partially Deducted,مخصوم جزئياً
Original Deposit,التأمين الأصلي
Refund Details,تفاصيل الاسترجاع
Refund Amount,مبلغ الاسترجاع
Deduction Amount,مبلغ الخصم
Deduction Reason,سبب الخصم
Refund Method,طريقة الاسترجاع
Payment Account,حساب الدفع
Refund Date,تاريخ الاسترجاع
Refund Status,حالة الاسترجاع
Accountant Notes,ملاحظات المحاسب
Notes,الملاحظات
Completed,مكتمل
Cash,نقدي
Bank Transfer,تحويل بنكي
Asset,الأصل
Qty,الكمية
Serial No,الرقم التسلسلي
Asset Booking Status,حالة حجز الأصل
Condition on Delivery,الحالة عند التسليم
Condition on Return,الحالة عند الإرجاع
Available,متاح
Booked,محجوز
Damaged,تالف
Lost,مفقود
Session Date,تاريخ الجلسة
Session Time,وقت الجلسة
Session Status,حالة الجلسة
Cancellation Reason,سبب الإلغاء
Scheduled,مجدول
Cancelled,ملغى
Draft,مسودة
Submitted,مقدم
Approved,معتمد
Rejected,مرفوض
Confirmed,مؤكد
Delivery/Installation Scheduled,تمت جدولة التوصيل/التركيب
In Progress,قيد التنفيذ
Ready for Collection,جاهز للاستلام
Assets Returned,تم إرجاع الأصول
Closed,مغلق
Pending Return,بانتظار الإرجاع
Return Initiated,بدء الإرجاع
Asset Utilization Report,تقرير استخدام الأصول
Party Bookings Report,تقرير حجوزات الحفلات
Security Deposit Report,تقرير مبالغ التأمين
Damaged and Lost Assets Report,تقرير الأصول التالفة والمفقودة
Customer name is required.,اسم العميل مطلوب.
Customer mobile is required.,رقم جوال العميل مطلوب.
Customer mobile must be a valid phone number.,يجب أن يكون رقم الجوال صحيحاً.
Party date is required.,تاريخ الحفلة مطلوب.
Party date cannot be in the past.,لا يمكن أن يكون تاريخ الحفلة في الماضي.
booking_type must be 'One-time' or 'Recurring'.,نوع الحجز يجب أن يكون لمرة واحدة أو متكرر.
Invalid service_type.,نوع خدمة غير صالح.
A booking already exists for this mobile number on the same date.,يوجد حجز مسبق لهذا الرقم في نفس اليوم.
Booking created successfully.,تم إنشاء الحجز بنجاح.
Alternative Asset,الأصل البديل
"If specified, this asset will be booked for this session instead of the main booking assets.",إذا تم تحديده، سيتم حجز هذا الأصل لهذه الجلسة بدلاً من الأصول الرئيسية.
Booking Status,حالة الحجز
Asset Type,نوع الأصل
Installation & Delivery Report,تقرير التوصيل والتركيب
Party Booking,حجز حفلة
Party Bookings,حجوزات الحفلات
Party Asset Return,إرجاع أصول الحفلة
Party Asset Returns,إرجاعات أصول الحفلة
Party Booking Asset,أصل حجز الحفلة
Party Booking Session,جلسة حجز الحفلة
Party Booking Reminder,تذكير حجز الحفلة
Event Type,نوع المناسبة
Event Types,أنواع المناسبات
Mu Booking,حجوزات مو
Customer Information,معلومات العميل
Customer,العميل
Customer Name,اسم العميل
Customer Mobile,جوال العميل
Receiver Mobile,جوال المستلم
Party Location,موقع الحفلة
Location Link (Google Maps),رابط الموقع (خرائط جوجل)
Customer Notes,ملاحظات العميل
Booking Information,معلومات الحجز
Service Type,نوع الخدمة
Booking Type,نوع الحجز
Party Date,تاريخ الحفلة
Party Time,وقت الحفلة
Booking Officer,مسؤول الحجز
Recurring Booking Details,تفاصيل الحجز المتكرر
Recurring Pattern,نمط التكرار
Start Date,تاريخ البدء
Number of Days/Sessions,عدد الأيام/الجلسات
End Date,تاريخ الانتهاء
Sessions,الجلسات
Booking Sessions,جلسات الحجز
Booking Assets,أصول الحجز
Assets,الأصول
Financial Information,المعلومات المالية
Security Deposit,مبلغ التأمين
Deposit Status,حالة التأمين
Invoice Reference,المرجع للفاتورة
Delivery Only,توصيل فقط
Delivery and Installation,توصيل وتركيب
One-time,لمرة واحدة
Recurring,متكرر
Daily,يومياً
Weekly,أسبوعياً
Monthly,شهرياً
Manual,يدوي
Pending,معلق
Refunded,تم الاسترجاع
Partially Deducted,مخصوم جزئياً
